DBN,Cohort,Total Enrolled,Total Present,Average Attendance
03M242,2007,53814.0,49606.0,0.9218047348273684
03M242,2008,42996.0,39269.0,0.9133175179086427
03M243,2006,37750.0,35572.0,0.9423046357615894
03M243,2007,37669.0,36500.0,0.9689665241976161
03M243,2008,38848.0,37506.0,0.9654551070840197
03M244,2006,269.0,269.0,1.0
03M245,2006,59605.0,56927.0,0.9550708833151581
03M245,2007,61554.0,59110.0,0.9602950255060597
03M245,2008,66097.0,63495.0,0.9606336142336264
03M246,2006,39103.0,35682.0,0.9125131064112728
03M246,2007,40285.0,35753.0,0.8875015514459477
03M246,2008,22727.0,20519.0,0.90284683416201
03M247,2006,30836.0,29355.0,0.9519717213646387
03M247,2007,34090.0,32536.0,0.9544147843942505
03M247,2008,35198.0,33527.0,0.9525257116881641
03M250,2006,36604.0,34060.0,0.9304993989727899
03M250,2007,35675.0,33560.0,0.9407147862648914
03M250,2008,34034.0,31865.0,0.9362696127402009
03M256,2006,31278.0,28253.0,0.9032866551569794
03M256,2007,31714.0,28283.0,0.8918143406697358
03M256,2008,31914.0,28559.0,0.8948737231309143
03M258,2006,41833.0,38943.0,0.9309157841895155
03M258,2007,43558.0,40747.0,0.9354653565361127
03M258,2008,45543.0,42233.0,0.9273214324923699
03M299,2006,35079.0,30420.0,0.8671854955956555
03M299,2007,54466.0,44521.0,0.8174090258142694
03M299,2008,67129.0,52618.0,0.7838341104440704
03M307,2006,48796.0,39553.0,0.8105787359619641
03M307,2007,62079.0,48627.0,0.7833083651476345
03M307,2008,61402.0,48044.0,0.7824500830591837
03M333,2006,119994.0,112605.0,0.9384219210960548
03M333,2007,128214.0,120474.0,0.9396321774533203
03M333,2008,128054.0,119696.0,0.9347306605026005
03M334,2006,92594.0,88878.0,0.9598678100092879
03M334,2007,95513.0,91846.0,0.9616073204694648
03M334,2008,93860.0,90110.0,0.9600468783294268
03M415,2006,153990.0,127273.0,0.826501720890967
03M415,2007,127810.0,101540.0,0.7944605273452782
03M415,2008,107025.0,80250.0,0.7498248072880168
03M470,2006,429011.0,310436.0,0.7236084855633073
03M470,2007,395608.0,288733.0,0.729846211401185
03M470,2008,363047.0,269483.0,0.7422813024208986
03M479,2006,174963.0,164890.0,0.9424278275978349
03M479,2007,184221.0,173590.0,0.9422921382469969
03M479,2008,198387.0,188756.0,0.9514534722537263
03M485,2006,426773.0,408519.0,0.957227847122475
03M485,2007,440139.0,421176.0,0.9569158833913832
03M485,2008,423006.0,400719.0,0.9473128040737011
03M492,2006,85419.0,67573.0,0.791076926679076
03M492,2007,80068.0,68203.0,0.8518134585602238
03M492,2008,77337.0,65814.0,0.8510027541797587
03M494,2006,97923.0,79181.0,0.8086047200351296
03M494,2007,98816.0,81073.0,0.8204440576424871
03M494,2008,97324.0,81294.0,0.8352924253010563
03M505,2007,93783.0,60988.0,0.6503097576319802
03M505,2008,94772.0,60299.0,0.6362533237665133
03M541,2006,69072.0,65440.0,0.9474171878619412
03M541,2007,74928.0,71991.0,0.9608023702754644
03M541,2008,73241.0,69531.0,0.9493453120519927
03M577,2006,19296.0,9863.0,0.5111422056384743
03M577,2007,18645.0,8693.0,0.4662375972110485
03M577,2008,17702.0,7507.0,0.4240763755507852
03M859,2006,24394.0,23502.0,0.963433631220792
03M859,2007,24571.0,23781.0,0.967848276423426
03M859,2008,25427.0,24375.0,0.9586266567035041
03M860,2006,82742.0,74352.0,0.8986004689275096
03M860,2007,90279.0,73600.0,0.8152505012239835
03M860,2008,83466.0,67245.0,0.80565739342966
03M862,2006,58839.0,56044.0,0.9524974931592991
03M862,2007,54202.0,51836.0,0.9563484742260433
03M862,2008,52389.0,49025.0,0.935788047109126
03M864,2006,32172.0,26891.0,0.8358510506030088
03M865,2006,37182.0,34690.0,0.9329783228443871
03M865,2007,35772.0,33891.0,0.9474169741697417
03M865,2008,36521.0,33344.0,0.9130089537526355
04M007,2006,85564.0,77713.0,0.9082441213594502
04M007,2007,84884.0,76997.0,0.9070849630083408
04M007,2008,80362.0,72817.0,0.9061123416540156
04M012,2006,83705.0,78247.0,0.9347948151245445
04M012,2007,84284.0,79870.0,0.9476294433107114
04M012,2008,83718.0,79211.0,0.9461645046465516
04M013,2006,82873.0,69460.0,0.8381499402700517
04M013,2007,63373.0,54825.0,0.8651160588894324
04M013,2008,55017.0,48188.0,0.8758747296290238
04M037,2006,26529.0,23699.0,0.893324286629726
04M037,2007,27175.0,24668.0,0.9077460901563937
04M037,2008,28553.0,25777.0,0.9027772913529226
04M038,2006,71693.0,63889.0,0.8911469739026125
04M038,2007,68264.0,60945.0,0.8927838978085082
04M038,2008,63806.0,57344.0,0.8987242579067799
04M045,2006,118637.0,100548.0,0.847526488363664
04M045,2007,81545.0,69554.0,0.8529523575939665
04M045,2008,70604.0,61883.0,0.8764800861141012
04M050,2006,95011.0,83625.0,0.8801612444874803
04M050,2007,94076.0,83833.0,0.8911199455759173
